Loading model: mlx-community/Qwen3.5-0.8B-MTP-4bit
[MTP] Delta model detected via load_llm, redirecting to load_mtp_delta_model
[MTP] Delta model: mlx-community/Qwen3.5-0.8B-MTP-4bit, base model: mlx-community/Qwen3.5-0.8B-4bit
[MTP] Loaded base model weights: 847 tensors
[MTP] Merged 15 MTP head weights with base model
[mlx-rocm] bound HIP device 0: gfx1150 (AMD Radeon 890M Graphics) cus=8 warp=32 lds=64KB
[MTP] Found 0 quantized weight groups (shape-inference dequant only; runtime keeps packed unless MLX_MTP_DEQUANT=1)
[MTP] Shape-map has 15 weight tensors (temp; not retained for runtime)
[MTP] Got head_dim=256 from mtp.layers.0.self_attn.k_norm.weight (norm-weight ground truth)
[MTP] head_dim=256 num_attention_heads=8 (from o_proj attn_dim=2048)
[MTP] Inferred config: hidden_size=1024 head_dim=256 num_attention_heads=8 num_key_value_heads=2 intermediate_size=3584 quant_bits=4 quant_group_size=64 (weight-derived)
[MTP] load_mtp_weights: registered_ckpt=0 auto_quantized=8 dense_kept=7 dequantized=0 bits=4 gs=64
[quant-fuse] MLX_ENABLE_QUANT_FUSE=1 (attn/MLP); GDN in_proj stays unfused unless MLX_ENABLE_QUANT_FUSE_GDN=1
[mlx-rocm] gfx1150 native_wmma=1 cus=8 warp=32 low_cu=1 host_WARP_SIZE=32
Model loaded. Memory: active=1.1 GB, peak=1.1 GB, cache=24 MB
MTP enabled (scaffolding): n_draft=1
Type your message (or 'quit' to exit):

> 
Assistant: [hipBLASLt caps] device 0 (gfx1150): bf16=1 fp8_e4m3=0 fp8_e5m2=0 int8=1
[mtp-t] step=1 n_draft=1 accepted=0 draft=35718us verify=19843us commit=1us total=55562us
#[mtp-t] step=2 n_draft=1 accepted=0 draft=6415us verify=3484us commit=0us total=9899us
 The[mtp-t] step=3 n_draft=1 accepted=0 draft=6292us verify=3433us commit=0us total=9726us
 Fourier[mtp-t] step=4 n_draft=1 accepted=0 draft=6636us verify=3355us commit=0us total=9992us
 Transform[mtp-t] step=5 n_draft=1 accepted=0 draft=6414us verify=3162us commit=0us total=9576us
:[mtp-t] step=6 n_draft=1 accepted=0 draft=6603us verify=3119us commit=0us total=9723us
 An[mtp-t] step=7 n_draft=1 accepted=0 draft=6524us verify=3229us commit=0us total=9754us
 Engineering[mtp-t] step=8 n_draft=1 accepted=0 draft=6673us verify=3105us commit=0us total=9779us
 Perspective[mtp-t] step=9 n_draft=1 accepted=0 draft=6519us verify=3053us commit=1us total=9573us


[mtp-t] step=10 n_draft=1 accepted=0 draft=6477us verify=3247us commit=0us total=9725us
In[mtp-t] step=11 n_draft=1 accepted=0 draft=6933us verify=3098us commit=0us total=10032us
 the[mtp-t] step=12 n_draft=1 accepted=0 draft=6459us verify=3345us commit=0us total=9805us
 realm[mtp-t] step=13 n_draft=1 accepted=0 draft=6565us verify=3084us commit=0us total=9649us
 of[mtp-t] step=14 n_draft=1 accepted=0 draft=6643us verify=3085us commit=0us total=9729us
 engineering[mtp-t] step=15 n_draft=1 accepted=0 draft=6875us verify=3112us commit=0us total=9988us
,[mtp-t] step=16 n_draft=1 accepted=0 draft=6587us verify=3050us commit=0us total=9638us
 the[mtp-t] step=17 n_draft=1 accepted=0 draft=6453us verify=3747us commit=1us total=10202us
 **[mtp-t] step=18 n_draft=1 accepted=0 draft=6100us verify=3326us commit=0us total=9427us
Four[mtp-t] step=19 n_draft=1 accepted=0 draft=6426us verify=3067us commit=0us total=9494us
ier[mtp-t] step=20 n_draft=1 accepted=0 draft=6482us verify=3140us commit=0us total=9623us
 Transform[mtp-t] step=21 n_draft=1 accepted=0 draft=7074us verify=3247us commit=0us total=10322us
**[mtp-t] step=22 n_draft=1 accepted=0 draft=6576us verify=3171us commit=0us total=9748us
 is[mtp-t] step=23 n_draft=1 accepted=0 draft=6456us verify=3103us commit=0us total=9560us
 the[mtp-t] step=24 n_draft=1 accepted=0 draft=6550us verify=3128us commit=0us total=9680us
 fundamental[mtp-t] step=25 n_draft=1 accepted=0 draft=6598us verify=3067us commit=1us total=9667us
 bridge[mtp-t] step=26 n_draft=1 accepted=0 draft=6590us verify=3058us commit=0us total=9650us
 between[mtp-t] step=27 n_draft=1 accepted=0 draft=6485us verify=3097us commit=0us total=9583us
 the[mtp-t] step=28 n_draft=1 accepted=0 draft=6496us verify=3110us commit=0us total=9606us
 continuous[mtp-t] step=29 n_draft=1 accepted=0 draft=6576us verify=3078us commit=0us total=9656us
 and[mtp-t] step=30 n_draft=1 accepted=0 draft=6462us verify=3172us commit=0us total=9635us
 discrete[mtp-t] step=31 n_draft=1 accepted=0 draft=6358us verify=3095us commit=0us total=9453us
 domains[mtp-t] step=32 n_draft=1 accepted=0 draft=6570us verify=3671us commit=0us total=10242us
,[mtp-t] step=33 n_draft=1 accepted=0 draft=6356us verify=3083us commit=0us total=9439us
 and[mtp-t] step=34 n_draft=1 accepted=0 draft=6559us verify=3367us commit=0us total=9928us
 between[mtp-t] step=35 n_draft=1 accepted=0 draft=6597us verify=3249us commit=0us total=9846us
 the[mtp-t] step=36 n_draft=1 accepted=0 draft=6644us verify=3214us commit=0us total=9859us
 physical[mtp-t] step=37 n_draft=1 accepted=0 draft=6569us verify=3498us commit=0us total=10068us
 and[mtp-t] step=38 n_draft=1 accepted=0 draft=6381us verify=3136us commit=0us total=9518us
 mathematical[mtp-t] step=39 n_draft=1 accepted=0 draft=6561us verify=3252us commit=0us total=9814us
