Loading model: mlx-community/Qwen3.5-0.8B-MTP-4bit
[MTP] Delta model detected via load_llm, redirecting to load_mtp_delta_model
[MTP] Delta model: mlx-community/Qwen3.5-0.8B-MTP-4bit, base model: mlx-community/Qwen3.5-0.8B-4bit
[MTP] Loaded base model weights: 847 tensors
[MTP] Merged 15 MTP head weights with base model
[mlx-rocm] bound HIP device 0: gfx1150 (AMD Radeon 890M Graphics) cus=8 warp=32 lds=64KB
[MTP] Found 0 quantized weight groups (shape-inference dequant only; runtime keeps packed unless MLX_MTP_DEQUANT=1)
[MTP] Shape-map has 15 weight tensors (temp; not retained for runtime)
[MTP] Got head_dim=256 from mtp.layers.0.self_attn.k_norm.weight (norm-weight ground truth)
[MTP] head_dim=256 num_attention_heads=8 (from o_proj attn_dim=2048)
[MTP] Inferred config: hidden_size=1024 head_dim=256 num_attention_heads=8 num_key_value_heads=2 intermediate_size=3584 quant_bits=4 quant_group_size=64 (weight-derived)
[MTP] load_mtp_weights: registered_ckpt=0 auto_quantized=8 dense_kept=7 dequantized=0 bits=4 gs=64
[quant-fuse] MLX_ENABLE_QUANT_FUSE=1 (attn/MLP); GDN in_proj stays unfused unless MLX_ENABLE_QUANT_FUSE_GDN=1
[mlx-rocm] gfx1150 native_wmma=1 cus=8 warp=32 low_cu=1 host_WARP_SIZE=32
Model loaded. Memory: active=1.1 GB, peak=1.1 GB, cache=30 MB
MTP enabled (scaffolding): n_draft=2
Type your message (or 'quit' to exit):

> 
Assistant: [hipBLASLt caps] device 0 (gfx1150): bf16=1 fp8_e4m3=0 fp8_e5m2=0 int8=1
[mtp-t] step=1 n_draft=2 accepted=0 draft=66237us verify=24us commit=12us total=66274us
#[mtp-t] step=2 n_draft=2 accepted=0 draft=10945us verify=16us commit=3us total=10965us
 The[mtp-t] step=3 n_draft=2 accepted=0 draft=10828us verify=8us commit=3us total=10840us
 Fourier[mtp-t] step=4 n_draft=2 accepted=0 draft=10411us verify=10us commit=3us total=10425us
 Transform[mtp-t] step=5 n_draft=2 accepted=0 draft=10660us verify=7us commit=3us total=10671us
:[mtp-t] step=6 n_draft=2 accepted=0 draft=10471us verify=8us commit=3us total=10483us
 An[mtp-t] step=7 n_draft=2 accepted=0 draft=10735us verify=11us commit=3us total=10750us
 Engineering[mtp-t] step=8 n_draft=2 accepted=0 draft=10376us verify=7us commit=3us total=10388us
 Perspective[mtp-t] step=9 n_draft=2 accepted=0 draft=10539us verify=10us commit=3us total=10553us


[mtp-t] step=10 n_draft=2 accepted=0 draft=10567us verify=9us commit=3us total=10579us
In[mtp-t] step=11 n_draft=2 accepted=0 draft=10337us verify=11us commit=3us total=10351us
 the[mtp-t] step=12 n_draft=2 accepted=0 draft=10847us verify=8us commit=3us total=10859us
 realm[mtp-t] step=13 n_draft=2 accepted=0 draft=10187us verify=8us commit=3us total=10199us
 of[mtp-t] step=14 n_draft=2 accepted=0 draft=10374us verify=10us commit=3us total=10387us
 engineering[mtp-t] step=15 n_draft=2 accepted=0 draft=10302us verify=10us commit=6us total=10320us
,[mtp-t] step=16 n_draft=2 accepted=0 draft=10258us verify=8us commit=3us total=10270us
 the[mtp-t] step=17 n_draft=2 accepted=0 draft=10161us verify=7us commit=3us total=10171us
 **[mtp-t] step=18 n_draft=2 accepted=0 draft=10087us verify=13us commit=2us total=10103us
Four[mtp-t] step=19 n_draft=2 accepted=0 draft=10155us verify=12us commit=3us total=10171us
ier[mtp-t] step=20 n_draft=2 accepted=0 draft=10057us verify=11us commit=3us total=10071us
 Transform[mtp-t] step=21 n_draft=2 accepted=0 draft=9975us verify=7us commit=6us total=9989us
**[mtp-t] step=22 n_draft=2 accepted=0 draft=10163us verify=12us commit=2us total=10179us
 is[mtp-t] step=23 n_draft=2 accepted=0 draft=10094us verify=11us commit=2us total=10109us
 the[mtp-t] step=24 n_draft=2 accepted=0 draft=10061us verify=12us commit=2us total=10077us
 fundamental[mtp-t] step=25 n_draft=2 accepted=0 draft=10128us verify=12us commit=2us total=10143us
 bridge[mtp-t] step=26 n_draft=2 accepted=0 draft=10040us verify=11us commit=2us total=10055us
 between[mtp-t] step=27 n_draft=2 accepted=0 draft=9999us verify=8us commit=9us total=10018us
 the[mtp-t] step=28 n_draft=2 accepted=0 draft=9971us verify=10us commit=2us total=9985us
 continuous[mtp-t] step=29 n_draft=2 accepted=0 draft=10130us verify=12us commit=3us total=10146us
 and[mtp-t] step=30 n_draft=2 accepted=0 draft=9995us verify=11us commit=2us total=10010us
 discrete[mtp-t] step=31 n_draft=2 accepted=0 draft=10008us verify=11us commit=2us total=10022us
 domains[mtp-t] step=32 n_draft=2 accepted=0 draft=10050us verify=11us commit=2us total=10064us
,[mtp-t] step=33 n_draft=2 accepted=0 draft=10245us verify=15us commit=4us total=10265us
 and[mtp-t] step=34 n_draft=2 accepted=0 draft=10126us verify=11us commit=2us total=10140us
 between[mtp-t] step=35 n_draft=2 accepted=0 draft=10052us verify=11us commit=3us total=10066us
 the[mtp-t] step=36 n_draft=2 accepted=0 draft=10216us verify=8us commit=2us total=10227us
 physical[mtp-t] step=37 n_draft=2 accepted=0 draft=9966us verify=11us commit=3us total=9980us
 and[mtp-t] step=38 n_draft=2 accepted=0 draft=10019us verify=11us commit=2us total=10033us
 mathematical[mtp-t] step=39 n_draft=2 accepted=0 draft=10209us verify=11us commit=2us total=10224us
 worlds[mtp-t] step=40 n_draft=2 accepted=0 draft=10059us verify=11us commit=3us total=10073us
