cell,r,power,K,check_steps,mismatch,mismatch_rate_pct,tps,delta_pct_vs_ctrl,quality_ok,log_check,log_perf
ctrl,,,,0,0,0,29.4136,0,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/ctrl.txt,
r64_p0_K4096,64,0,4096,64,20,31.25,30.0068,2.017,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p0_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p0_K4096_perf.txt
r64_p0_K8192,64,0,8192,64,19,29.6875,30.3117,3.053,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p0_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p0_K8192_perf.txt
r64_p0_K16384,64,0,16384,64,9,14.0625,29.9212,1.726,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p0_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p0_K16384_perf.txt
r64_p1_K4096,64,1,4096,64,10,15.625,29.8782,1.58,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p1_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p1_K4096_perf.txt
r64_p1_K8192,64,1,8192,64,4,6.25,29.9468,1.813,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p1_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p1_K8192_perf.txt
r64_p1_K16384,64,1,16384,64,0,0,29.8469,1.473,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p1_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p1_K16384_perf.txt
r64_p2_K4096,64,2,4096,64,5,7.8125,30.0655,2.216,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p2_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p2_K4096_perf.txt
r64_p2_K8192,64,2,8192,64,2,3.125,30.3981,3.347,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p2_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p2_K8192_perf.txt
r64_p2_K16384,64,2,16384,64,0,0,28.5438,-2.957,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p2_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r64_p2_K16384_perf.txt
r96_p0_K4096,96,0,4096,64,11,17.1875,29.5945,0.615,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p0_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p0_K4096_perf.txt
r96_p0_K8192,96,0,8192,64,12,18.75,29.7502,1.144,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p0_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p0_K8192_perf.txt
r96_p0_K16384,96,0,16384,64,1,1.5625,30.3261,3.102,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p0_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p0_K16384_perf.txt
r96_p1_K4096,96,1,4096,64,6,9.375,29.948,1.817,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p1_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p1_K4096_perf.txt
r96_p1_K8192,96,1,8192,64,2,3.125,29.6812,0.91,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p1_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p1_K8192_perf.txt
r96_p1_K16384,96,1,16384,64,2,3.125,30.0706,2.234,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p1_K16384_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p1_K16384_perf.txt
r96_p2_K4096,96,2,4096,64,2,3.125,30.1604,2.539,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p2_K4096_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p2_K4096_perf.txt
r96_p2_K8192,96,2,8192,64,2,3.125,30.205,2.691,1,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p2_K8192_check.txt,/home/antmi/lemon-mlx-engine/docs/experiments/mtp-t1-lmhead-graph/sweep_out/r96_p2_K8192_perf.txt
